Date,Clicks,Impressions,CTR,Position
2025-03-04,14,4661,0.3%,62.9
2025-03-05,26,4482,0.58%,60.8
2025-03-06,16,4442,0.36%,61.9
2025-03-07,17,4404,0.39%,63.4
2025-03-08,10,4457,0.22%,66.8
2025-03-09,9,4313,0.21%,65.3
2025-03-10,34,5499,0.62%,60.7
2025-03-11,19,4853,0.39%,60.1
2025-03-12,26,4878,0.53%,58.1
2025-03-13,10,4185,0.24%,61.7
2025-03-14,17,4032,0.42%,63.1
2025-03-15,9,4089,0.22%,66.5
2025-03-16,19,4161,0.46%,64
2025-03-17,17,4508,0.38%,60.7
2025-03-18,23,4199,0.55%,60.7
2025-03-19,18,4517,0.4%,61.4
2025-03-20,23,5014,0.46%,64.2
2025-03-21,13,4279,0.3%,62.8
2025-03-22,9,4727,0.19%,68.1
2025-03-23,4,4681,0.09%,66.4
2025-03-24,17,4887,0.35%,62.8
2025-03-25,11,4135,0.27%,61.5
2025-03-26,30,4103,0.73%,60.3
2025-03-27,15,4100,0.37%,63.1
2025-03-28,16,4017,0.4%,64.4
2025-03-29,11,4026,0.27%,69.1
2025-03-30,6,4203,0.14%,67.9
2025-03-31,17,4394,0.39%,64.5
2025-04-01,27,5243,0.51%,64.5
2025-04-02,20,4737,0.42%,63.7
2025-04-03,14,4577,0.31%,63.9
2025-04-04,10,4221,0.24%,64.6
2025-04-05,14,4321,0.32%,68.5
2025-04-06,8,4347,0.18%,64.1
2025-04-07,10,4437,0.23%,62.6
2025-04-08,13,4256,0.31%,63.6
2025-04-09,19,4263,0.45%,63.4
2025-04-10,20,4396,0.45%,64.8
2025-04-11,16,4354,0.37%,66.8
2025-04-12,11,4165,0.26%,70.7
2025-04-13,10,4054,0.25%,67.7
2025-04-14,14,4251,0.33%,64
2025-04-15,20,3988,0.5%,62.7
2025-04-16,15,3787,0.4%,60.6
2025-04-17,15,4170,0.36%,64.5
2025-04-18,17,4326,0.39%,66.4
2025-04-19,6,4289,0.14%,68.9
2025-04-20,11,4895,0.22%,68.9
2025-04-21,29,4626,0.63%,65.4
2025-04-22,15,4712,0.32%,64.4
2025-04-23,12,5033,0.24%,66.5
2025-04-24,14,5948,0.24%,69.6
2025-04-25,14,5355,0.26%,69
2025-04-26,13,4985,0.26%,71.6
2025-04-27,12,5728,0.21%,72.4
2025-04-28,14,5627,0.25%,69.8
2025-04-29,20,4726,0.42%,64.8
2025-04-30,11,4524,0.24%,66.1
2025-05-01,18,4669,0.39%,62
2025-05-02,11,4659,0.24%,63.7
2025-05-03,9,4420,0.2%,66.8
2025-05-04,9,4946,0.18%,65.5
2025-05-05,10,4873,0.21%,63.1
2025-05-06,7,4899,0.14%,62.1
2025-05-07,16,4929,0.32%,62.4
2025-05-08,14,4862,0.29%,64.4
2025-05-09,7,4846,0.14%,65.6
2025-05-10,7,5004,0.14%,67.9
2025-05-11,9,5788,0.16%,68
2025-05-12,15,5733,0.26%,63.4
2025-05-13,16,5786,0.28%,63.2
2025-05-14,12,6161,0.19%,65.4
2025-05-15,18,6033,0.3%,63.7
2025-05-16,15,5271,0.28%,63.9
2025-05-17,13,5138,0.25%,66
2025-05-18,13,5753,0.23%,65.4
2025-05-19,12,5762,0.21%,62.4
2025-05-20,13,5420,0.24%,61.5
2025-05-21,18,5566,0.32%,64
2025-05-22,19,5651,0.34%,63.6
2025-05-23,12,4581,0.26%,62.4
2025-05-24,18,4888,0.37%,65.6
2025-05-25,13,5131,0.25%,64.2
2025-05-26,13,5977,0.22%,62.7
2025-05-27,17,5041,0.34%,60.8
2025-05-28,17,5166,0.33%,61.7
2025-05-29,21,5436,0.39%,63.1
2025-05-30,11,4977,0.22%,63.5
2025-05-31,8,4904,0.16%,65.8
2025-06-01,10,5378,0.19%,65.6
2025-06-02,17,5219,0.33%,63
2025-06-03,15,4870,0.31%,62.5
2025-06-04,19,5103,0.37%,62.5
2025-06-05,16,5101,0.31%,61.4
2025-06-06,11,5486,0.2%,64.8
2025-06-07,11,5619,0.2%,68
2025-06-08,13,5360,0.24%,67.3
2025-06-09,13,5599,0.23%,63
2025-06-10,15,5691,0.26%,63.5
2025-06-11,10,5290,0.19%,61.4
2025-06-12,16,5164,0.31%,62.8
2025-06-13,15,5062,0.3%,61.9
2025-06-14,4,5010,0.08%,64.5
2025-06-15,17,5059,0.34%,62.8
2025-06-16,17,5369,0.32%,60.8
2025-06-17,17,5150,0.33%,58.9
2025-06-18,13,5113,0.25%,60.3
2025-06-19,23,5294,0.43%,59.9
2025-06-20,23,5683,0.4%,59.1
2025-06-21,10,5363,0.19%,61.6
2025-06-22,11,5562,0.2%,61.2
2025-06-23,16,6334,0.25%,59.8
2025-06-24,18,5741,0.31%,58.7
2025-06-25,14,5677,0.25%,59.8
2025-06-26,12,5567,0.22%,60.8
2025-06-27,16,5138,0.31%,61.1
2025-06-28,12,5164,0.23%,63.1
2025-06-29,17,5643,0.3%,61.2
2025-06-30,21,5367,0.39%,58.5
2025-07-01,13,5114,0.25%,58.8
2025-07-02,23,4884,0.47%,59.4
2025-07-03,13,4856,0.27%,58.9
2025-07-04,10,4629,0.22%,61.1
2025-07-05,11,4395,0.25%,61.5
2025-07-06,10,4530,0.22%,61
2025-07-07,19,6725,0.28%,62.6
2025-07-08,16,4704,0.34%,58.3
2025-07-09,23,5196,0.44%,58.4
2025-07-10,16,5748,0.28%,59
2025-07-11,19,5756,0.33%,60.7
2025-07-12,14,5142,0.27%,63
2025-07-13,11,4960,0.22%,59.7
2025-07-14,20,5431,0.37%,59.5
2025-07-15,18,5207,0.35%,58.5
2025-07-16,12,4948,0.24%,57.7
2025-07-17,9,4810,0.19%,57.1
2025-07-18,18,5670,0.32%,59.9
2025-07-19,15,7614,0.2%,67.7
2025-07-20,8,8124,0.1%,67.4
2025-07-21,16,6488,0.25%,59.7
2025-07-22,19,5818,0.33%,58.7
2025-07-23,20,5775,0.35%,57.2
2025-07-24,9,5650,0.16%,58.4
2025-07-25,17,5333,0.32%,59.3
2025-07-26,16,5363,0.3%,61.5
2025-07-27,25,5819,0.43%,61
2025-07-28,18,5416,0.33%,58.3
2025-07-29,17,5033,0.34%,57.8
2025-07-30,13,5596,0.23%,59.5
2025-07-31,15,5497,0.27%,57.5
2025-08-01,15,5358,0.28%,61.1
2025-08-02,13,5120,0.25%,62
2025-08-03,10,5241,0.19%,61.9
2025-08-04,18,5526,0.33%,61
2025-08-05,18,5233,0.34%,59.1
2025-08-06,15,5305,0.28%,58.9
2025-08-07,12,5204,0.23%,59
2025-08-08,9,4943,0.18%,60.6
2025-08-09,12,5190,0.23%,65.1
2025-08-10,6,5375,0.11%,61.4
2025-08-11,10,5438,0.18%,60.9
2025-08-12,18,5129,0.35%,57.7
2025-08-13,9,5316,0.17%,58.9
2025-08-14,12,5071,0.24%,59.7
2025-08-15,9,4723,0.19%,62.3
2025-08-16,6,4756,0.13%,64.3
2025-08-17,13,4824,0.27%,62
2025-08-18,17,5156,0.33%,58.9
2025-08-19,13,4936,0.26%,58.4
2025-08-20,19,5555,0.34%,58.1
2025-08-21,13,5429,0.24%,61.2
2025-08-22,11,5292,0.21%,61.9
2025-08-23,15,5859,0.26%,65.5
2025-08-24,6,5422,0.11%,64.3
2025-08-25,9,5789,0.16%,61.7
2025-08-26,11,5532,0.2%,61.2
2025-08-27,16,5155,0.31%,60.6
2025-08-28,15,4965,0.3%,59.4
2025-08-29,13,5195,0.25%,61.1
2025-08-30,10,4867,0.21%,64.9
2025-08-31,11,5107,0.22%,64.4
2025-09-01,10,5802,0.17%,63.1
2025-09-02,20,5381,0.37%,60.7
2025-09-03,21,5455,0.38%,59.6
2025-09-04,15,5080,0.3%,58.5
2025-09-05,9,4728,0.19%,60.9
2025-09-06,5,4645,0.11%,63
2025-09-07,13,4776,0.27%,61.1
2025-09-08,10,4859,0.21%,57.2
2025-09-09,14,4460,0.31%,55.5
2025-09-10,19,3941,0.48%,54.9
2025-09-11,28,3868,0.72%,51.6
2025-09-12,17,2405,0.71%,44.9
2025-09-13,20,1499,1.33%,33.7
2025-09-14,18,1740,1.03%,38
2025-09-15,26,1953,1.33%,31.4
2025-09-16,15,1953,0.77%,36.4
2025-09-17,12,1909,0.63%,31
2025-09-18,15,2672,0.56%,43.6
2025-09-19,11,1794,0.61%,35.6
2025-09-20,12,1808,0.66%,43.9
2025-09-21,6,1932,0.31%,40.7
2025-09-22,16,1934,0.83%,35.2
2025-09-23,19,1874,1.01%,34.9
2025-09-24,9,1897,0.47%,32.8
2025-09-25,12,1726,0.7%,33.1
2025-09-26,15,1596,0.94%,37.3
2025-09-27,4,1638,0.24%,44.2
2025-09-28,6,1497,0.4%,41.9
2025-09-29,19,1715,1.11%,38.5
2025-09-30,12,1753,0.68%,38.3
2025-10-01,12,1572,0.76%,37.4
2025-10-02,10,1606,0.62%,35.2
2025-10-03,23,1587,1.45%,35.2
2025-10-04,2,1481,0.14%,41.7
2025-10-05,11,1523,0.72%,35.2
2025-10-06,14,1812,0.77%,30.7
2025-10-07,21,1806,1.16%,27.9
2025-10-08,17,1679,1.01%,27.9
2025-10-09,18,1732,1.04%,28.7
2025-10-10,15,1618,0.93%,34.3
2025-10-11,9,1626,0.55%,36.5
2025-10-12,17,1465,1.16%,34.1
