Country,Clicks,Impressions,CTR,Position
India,2950,188509,1.56%,23.48
Pakistan,894,11342,7.88%,34.4
United States,422,559960,0.08%,56.81
United Arab Emirates,79,7816,1.01%,55.99
United Kingdom,72,110311,0.07%,69.59
Philippines,59,14077,0.42%,51.18
Morocco,59,6327,0.93%,35.34
Canada,58,21277,0.27%,55.68
Australia,56,24179,0.23%,67.08
China,51,1416,3.6%,54.75
Indonesia,45,14414,0.31%,35.74
Turkey,44,6410,0.69%,61.43
Singapore,43,7371,0.58%,60.09
Bangladesh,43,5234,0.82%,56.82
Kenya,41,3656,1.12%,36.8
South Africa,40,9642,0.41%,55.04
Saudi Arabia,39,6721,0.58%,58.52
Hong Kong,36,2557,1.41%,56.93
Nigeria,33,4848,0.68%,26.26
Sri Lanka,27,1183,2.28%,27.08
Malaysia,26,8652,0.3%,53.74
Egypt,24,4336,0.55%,52.67
Germany,23,16534,0.14%,62.39
Netherlands,21,10497,0.2%,67.69
Japan,21,4336,0.48%,59.19
Iran,20,748,2.67%,49.34
France,18,8458,0.21%,60.28
Brazil,16,75009,0.02%,70.52
Italy,16,11892,0.13%,63.26
Vietnam,15,11786,0.13%,62.62
Thailand,14,3574,0.39%,57.8
Nepal,14,1832,0.76%,50.82
Sweden,13,4298,0.3%,64.51
Israel,13,2012,0.65%,57.74
South Korea,12,9032,0.13%,60.99
Spain,12,7409,0.16%,60.37
Qatar,12,1873,0.64%,55.49
Switzerland,11,2142,0.51%,63.08
Colombia,10,3058,0.33%,59.71
Taiwan,10,2755,0.36%,61.48
Ethiopia,10,809,1.24%,40.04
Ireland,9,5553,0.16%,66.17
Iraq,9,2304,0.39%,68.08
Mexico,8,8720,0.09%,55.94
New Zealand,8,4848,0.17%,70.23
Tanzania,8,440,1.82%,28.27
Belgium,7,4411,0.16%,70.94
Ukraine,7,3798,0.18%,67.04
Poland,7,3517,0.2%,57.94
Romania,7,1662,0.42%,55.3
Jordan,7,1214,0.58%,64.99
Greece,7,1153,0.61%,49.41
Finland,6,2120,0.28%,63.98
Oman,6,1601,0.37%,65.09
Bulgaria,6,1044,0.57%,59.75
Tunisia,5,1083,0.46%,63.84
Azerbaijan,5,701,0.71%,58.01
Uganda,5,552,0.91%,26.5
Cyprus,5,517,0.97%,60.08
Cameroon,5,374,1.34%,20.97
Solomon Islands,5,53,9.43%,10.57
Russia,4,20822,0.02%,70.16
